Name,Year,Age Rating,Duration,Category, 
The Main Event,2020,All,1h 43m,Kids & Family Movies,
Riverdance: The Animated Adventure,2022,7+,1h 33m,Kids & Family Movies,
Duck Duck Goose,2018,7+,1h 32m,Kids & Family Movies,
Tall Girl 2,2022,7+,1h 41m,Kids & Family Movies,
A 2nd Chance,2011,7+,1h 35m,Kids & Family Movies,
Tall Girl,2019,7+,1h 43m,Kids & Family Movies,
June & Kopi,2021,7+,1h 30m,Kids & Family Movies,
Angela's Christmas,2018,All,30m,Kids & Family Movies,
A Christmas Prince: The Royal Baby,2019,7+,1h 25m,Kids & Family Movies,
Jingle Jangle: A Christmas Journey,2020,7+,1h 59m,Kids & Family Movies,
Motu Patlu: Kung Fu Kings,2014,7+,1h 36m,Kids & Family Movies,
The SpongeBob Movie: Sponge Out of Water,2015,All,1h 35m,Kids & Family Movies,
Motu Patlu in Hong Kong: Kung Fu Kings 3,2017,7+,1h 24m,Kids & Family Movies,
Arrietty,2010,7+,1h 34m,Kids & Family Movies,
Zokkomon,2011,7+,1h 44m,Kids & Family Movies,
Jungle Beat: The Movie,2021,7+,1h 29m,Kids & Family Movies,
Chhota Bheem: Bheem vs Aliens,2010,7+,1h 9m,Kids & Family Movies,
The Loud House Movie,2021,7+,1h 27m,Kids & Family Movies,
Trollhunters: Rise of the Titans,2021,7+,1h 46m,Kids & Family Movies,
Chhota Bheem: Master of Shaolin,2011,7+,1h 13m,Kids & Family Movies,
Secret Magic Control Agency,2021,7+,1h 45m,Kids & Family Movies,
The Christmas Chronicles: Part Two,2020,7+,1h 55m,Kids & Family Movies,
A Babysitter's Guide to Monster Hunting,2020,7+,1h 38m,Kids & Family Movies,
The Boss Baby: Get That Baby!,2020,7+,24m,Kids & Family Movies,
Kung-Fu Kings 4: The Challenge of Kung Fu Brothers,2018,7+,1h 26m,Kids & Family Movies,
Shrek the Third,2007,7+,1h 34m,Kids & Family Movies,
Gnome Alone,2018,7+,1h 25m,Kids & Family Movies,
Rudra: Secret of the Black Moon,2020,7+,1h 27m,Kids & Family Movies,
Little Singham - Black Shadow,2021,7+,47m,Kids & Family Movies,
The Sleepover,2020,7+,1h 43m,Kids & Family Movies,
Motu Patlu in Wonderland,2013,7+,1h 15m,Kids & Family Movies,
Chhota Bheem aur Krishna,2009,7+,1h 8m,Kids & Family Movies,
Barbie Big City Big Dreams,2021,All,1h 3m,Kids & Family Movies,
Bee Movie,2007,7+,1h 32m,Kids & Family Movies,
Rango,2011,7+,1h 49m,Kids & Family Movies,
Nightbooks,2021,7+,1h 43m,Kids & Family Movies,
The SpongeBob SquarePants Movie,2004,7+,1h 28m,Kids & Family Movies,
Shrek Forever After,2010,7+,1h 35m,Kids & Family Movies,
Ella Enchanted,2004,7+,1h 36m,Kids & Family Movies,
Puss in Boots,2011,7+,1h 32m,Kids & Family Movies,
The Smurfs,2011,7+,1h 42m,Kids & Family Movies,
A Cinderella Story,2004,7+,1h 35m,Kids & Family Movies,
The Willoughbys,2020,7+,1h 32m,Kids & Family Movies,
Keymon and Nani in Space Adventure,2013,7+,1h 15m,Kids & Family Movies,
DJ Cinderella,2019,7+,1h 36m,Kids & Family Movies,
Cloudy with a Chance of Meatballs 2,2013,7+,1h 34m,Kids & Family Movies,
The Ant Bully,2006,7+,1h 29m,Kids & Family Movies,
My Neighbor Totoro,1988,All,1h 27m,Kids & Family Movies,
Kiki’s Delivery Service,1989,7+,1h 43m,Kids & Family Movies,
Pinkfong & Baby Shark's Space Adventure,2019,All,1h 5m,Kids & Family Movies,
When Marnie Was There,2014,7+,1h 43m,Kids & Family Movies,
Whisper of the Heart,1995,7+,1h 51m,School Anime,
My Octopus Teacher,2020,7+,1h 25m,Kids & Family Movies,
The Cat Returns,2002,7+,1h 15m,Kids & Family Movies,
Only Yesterday,1991,7+,1h 59m,Kids & Family Movies,
From Up on Poppy Hill,2011,7+,1h 31m,Historical Anime,
Nausicaä of the Valley of the Wind,1984,7+,1h 57m,Kids & Family Movies,
Arthur Christmas,2011,7+,1h 37m,Kids & Family Movies,
Elf,2003,7+,1h 36m,Kids & Family Movies,
Dhh,2017,7+,2h 6m,Kids & Family Movies,
Puff: Wonders of the Reef,2021,7+,1h 2m,Kids & Family Movies,
Sahara,2017,7+,1h 25m,Kids & Family Movies,
Modest Heroes: Ponoc Short Films Theatre,2018,7+,53m,Kids & Family Movies,
Ocean Waves,1993,7+,1h 12m,School Anime,
Robin Robin,2021,All,32m,Kids & Family Movies,
Spelling the Dream,2020,All,1h 23m,Kids & Family Movies,
Invader Zim: Enter the Florpus,2019,7+,1h 11m,Kids & Family Movies,
Pachamama,2019,7+,1h 11m,Kids & Family Movies,
LOL Surprise: The Movie,2021,All,47m,Kids & Family Movies,
Escape The Undertaker,2021,7+,31m,Kids & Family Movies,
The Princess Switch 3: Romancing the Star,2021,7+,1h 46m,Kids & Family Movies,
Home Team,2022,7+,1h 39m,Kids & Family Movies,
Extinct,2021,7+,1h 25m,Kids & Family Movies,
Rabbids Invasion Special: Mission to Mars,2022,All,1h 10m,Kids & Family Movies,
You vs. Wild: Out Cold,2021,7+,25m,Kids & Family Movies,
Little Singham Samundar Ka Sikandar,2021,7+,47m,Kids & Family Movies,
Marmaduke,2022,7+,1h 30m,Kids & Family Movies,
Blippi's School Supply Scavenger Hunt,2021,All,39m,Kids & Family Movies,
Blippi The Musical,2021,All,1h,Kids & Family Movies,
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,All,1h 1m,Kids & Family Movies,
Mixtape,2021,7+,1h 37m,Kids & Family Movies,
Hilda and the Mountain King,2021,7+,1h 24m,Kids & Family Movies,
Sharkdog's Fintastic Halloween,2021,7+,25m,Kids & Family Movies,
StarBeam: Beaming in the New Year,2021,All,47m,Kids & Family Movies,
David and the Elves,2021,7+,1h 46m,Kids & Family Movies,
Johnny Test's Ultimate Meatloaf Quest,2021,All,20m,Kids & Family Movies,
Mighty Express: Train Trouble,2022,All,25m,Kids & Family Movies,
Erax,2022,7+,15m,Kids & Family Movies,
Waffles + Mochi's Holiday Feast,2021,All,28m,Kids & Family Movies,
A StoryBots Space Adventure,2021,All,12m,Kids & Family Movies,
Rudra: The Rise of King Pharaoh,2019,7+,1h 30m,Kids & Family Movies,
Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,7+,1h 5m,Kids & Family Movies,
Chhota Bheem & Krishna: Mayanagari,2011,7+,1h 6m,Kids & Family Movies,
Motu Patlu: Khazaane Ki Race,2015,7+,1h 15m,Kids & Family Movies,
Carmen Sandiego: To Steal or Not to Steal,2020,7+,31m,Kids & Family Movies,
Trolls Holiday Special,2017,All,26m,Kids & Family Movies,
Puss in Book: Trapped in an Epic Tale,2017,7+,35m,Kids & Family Movies,
The Last Kids on Earth: Happy Apocalypse to You,2021,7+,27m,Kids & Family Movies,
GO! The Unforgettable Party,2019,All,1h,Kids & Family Movies,
The Spooky Tale of Captain Underpants Hack-a-ween,2019,7+,46m,Kids & Family Movies,
Octonauts & the Great Barrier Reef,2020,7+,47m,Kids & Family Movies,
Dragons: Rescue Riders: Secrets of the Songwing,2020,All,46m,Kids & Family Movies,
Free Rein: Valentine's Day,2019,7+,50m,Kids & Family Movies,
Captain Underpants Epic Choice-o-Rama,2020,7+,37m,Kids & Family Movies,
Free Rein: The Twelve Neighs of Christmas,2018,7+,57m,Kids & Family Movies,
Spirit Riding Free: Spirit of Christmas,2019,All,45m,Kids & Family Movies,
Super Monsters Furever Friends,2019,All,58m,Kids & Family Movies,
Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,All,46m,Kids & Family Movies,
True: Friendship Day,2020,All,23m,Kids & Family Movies,
True: Winter Wishes,2019,All,45m,Kids & Family Movies,
Spirit Riding Free: Ride Along Adventure,2020,7+,22m,Kids & Family Movies,
True: Tricky Treat Day,2019,All,23m,Kids & Family Movies,
True: Rainbow Rescue,2020,All,23m,Kids & Family Movies,
Captain Underpants Mega Blissmas,2020,7+,46m,Kids & Family Movies,
Super Monsters: The New Class,2020,All,24m,Kids & Family Movies,
A Family Reunion Christmas,2019,All,29m,Sitcoms,
Mighty Express: A Mighty Christmas,2020,All,25m,Kids & Family Movies,
Super Monsters Save Halloween,2018,All,24m,Kids & Family Movies,
Dragons: Rescue Riders: Huttsgalor Holiday,2020,All,46m,Kids & Family Movies,
Go! Go! Cory Carson: The Chrissy,2020,All,42m,Kids & Family Movies,
The Magic School Bus Rides Again Kids In Space,2020,All,46m,Kids & Family Movies,
A Trash Truck Christmas,2020,All,28m,Kids & Family Movies,
The Magic School Bus Rides Again The Frizz Connection,2020,All,46m,Kids & Family Movies,
A StoryBots Christmas,2017,All,25m,Kids & Family Movies,
The Magic School Bus Rides Again In the Zone,2020,All,46m,Kids & Family Movies,
True: Grabbleapple Harvest,2019,All,23m,Kids & Family Movies,
The Princess Switch,2018,7+,1h 42m,Kids & Family Movies,
Back of the Net,2019,7+,1h 26m,Kids & Family Movies,
Earwig and the Witch,2020,All,1h 22m,Kids & Family Movies,
The Karate Kid Part II,1986,7+,1h 53m,Kids & Family Movies,
A Christmas Prince,2017,7+,1h 32m,Kids & Family Movies,
Fan of Amoory,2018,7+,1h 49m,Kids & Family Movies,
A Witches' Ball,2017,7+,1h 31m,Kids & Family Movies,
Flushed Away,2006,7+,1h 26m,Kids & Family Movies,
Purple Hearts,2022,16+,2h 2m,Romantic Movies,
Nikamma,2022,16+,2h 27m,Romantic Movies,
Radhe Shyam (Hindi),2022,16+,2h 18m,Romantic Movies,
Look Both Ways,2022,16+,1h 51m,Romantic Movies,
The Royal Treatment,2022,13+,1h 37m,Romantic Movies,
Badhaai Do,2022,13+,2h 27m,Romantic Movies,
Wedding Season,2022,13+,1h 37m,Romantic Movies,
Chandigarh Kare Aashiqui,2021,16+,1h 55m,Romantic Movies,
Through My Window,2022,18+,1h 53m,Teen Movies,
Ante Sundaraniki,2022,13+,2h 53m,Telugu-Language Movies,
Persuasion,2022,7+,1h 49m,Romantic Movies,
Meenakshi Sundareshwar,2021,16+,2h 21m,Romantic Movies,
Royalteen,2022,18+,1h 48m,Teen Movies,
Love Tactics,2022,13+,1h 38m,Romantic Movies,
The In Between,2022,18+,1h 57m,Teen Movies,
The Entitled,2022,18+,1h 30m,Romantic Movies,
Hurdang,2022,16+,1h 59m,Romantic Movies,
A Perfect Pairing,2022,13+,1h 42m,Romantic Movies,
Shyam Singha Roy,2021,13+,2h 34m,Telugu-Language Movies,
Virata Parvam,2022,16+,2h 30m,Telugu-Language Movies,
Love & Gelato,2022,13+,1h 52m,Teen Movies,
Hey Sinamika (Hindi),2022,13+,2h 27m,Romantic Movies,
Bubble,2022,13+,1h 41m,Teen Movies,
He's All That,2021,13+,1h 31m,Teen Movies,
Dangerous Liaisons,2022,18+,1h 49m,Teen Movies,
Heartsong,2022,16+,1h 35m,Romantic Movies,
Along for the Ride,2022,13+,1h 48m,Teen Movies,
Doom of Love,2022,16+,1h 40m,Romantic Movies,
"Hello, Goodbye, and Everything in Between",2022,13+,1h 24m,Teen Movies,
Love Hard,2021,13+,1h 46m,Romantic Movies,
Most Eligible Bachelor,2021,18+,2h 23m,Telugu-Language Movies,
Love and Leashes,2022,18+,1h 58m,Romantic Movies,
Don’t Blame Karma!,2022,16+,1h 25m,Romantic Movies,
Anonymously Yours,2021,16+,1h 41m,Teen Movies,
Afterlife of the Party,2021,7+,1h 49m,Romantic Movies,
A Castle For Christmas,2021,7+,1h 39m,Romantic Movies,
In Good Hands,2022,16+,1h 45m,Romantic Movies,
Sounds Like Love,2021,18+,1h 51m,Romantic Movies,
Main Hoon Na,2004,16+,2h 51m,Romantic Movies,
Forrest Gump,1994,18+,2h 23m,Comedies,
Zindagi Na Milegi Dobara,2011,13+,2h 34m,Romantic Movies,
Chennai Express,2013,16+,2h 14m,Romantic Movies,
Fifty Shades of Grey,2015,18+,2h 5m,Romantic Movies,
Teefa in Trouble,2018,16+,2h 35m,Romantic Movies,
Hum Saath-Saath Hain,1999,7+,2h 56m,Romantic Movies,
Kal Ho Naa Ho,2003,13+,3h 6m,Romantic Movies,
Baby Dolls,2019,13+,2h 6m,Punjabi-Language Movies,
Kabir Singh,2019,18+,2h 51m,Romantic Movies,
Top Gun,1986,16+,1h 49m,Romantic Movies,
Haseen Dillruba,2021,16+,2h 15m,Thriller Movies,
Chup Chup Ke,2006,13+,2h 37m,Romantic Movies,
Malang,2020,16+,2h 11m,Romantic Movies,
Jab We Met,2007,13+,2h 23m,Romantic Movies,
Pad Man,2018,13+,2h 10m,Romantic Movies,
Kuch Kuch Hota Hai,1998,13+,3h 5m,Romantic Movies,
Hum Aapke Hain Koun,1994,13+,3h 13m,Romantic Movies,
Om Shanti Om,2007,16+,2h 48m,Romantic Movies,
Jodhaa Akbar,2008,16+,3h 33m,Romantic Movies,
The Blue Lagoon,1980,18+,1h 44m,Romantic Movies,
Bareilly Ki Barfi,2017,13+,1h 50m,Romantic Movies,
Lust Stories,2018,18+,2h,Romantic Movies,
Qismat,2018,13+,2h 17m,Punjabi-Language Movies,
Dil Dhadakne Do,2015,16+,2h 53m,Romantic Movies,
Unfaithful,2002,18+,2h 3m,Thriller Movies,
Ala Vaikunthapurramuloo,2020,18+,2h 41m,Telugu-Language Movies,
Lagaan,2001,13+,3h 43m,Romantic Movies,
The Terminal,2004,13+,2h 9m,Romantic Movies,
Half Girlfriend,2017,13+,2h 9m,Bollywood Movies,
Roohi,2021,16+,2h 15m,Romantic Movies,
Meet Joe Black,1998,18+,3h,Romantic Movies,
Just Like Heaven,2005,13+,1h 35m,Romantic Movies,
Corpse Bride,2005,13+,1h 17m,Romantic Movies,
Mr. & Mrs. Smith,2005,18+,2h,Romantic Movies,
The Notebook,2004,18+,2h 3m,Romantic Movies,
Love & Other Drugs,2010,18+,1h 52m,Romantic Movies,
The Kissing Booth,2018,16+,1h 46m,Teen Movies,
All The Bright Places,2020,18+,1h 48m,Teen Movies,
The Holiday,2006,13+,2h 15m,Romantic Movies,
Eat Pray Love,2010,13+,2h 20m,Romantic Movies,
No Strings Attached,2011,16+,1h 49m,Romantic Movies,
The Curious Case of Benjamin Button,2008,16+,2h 46m,Movies Based on Books,
The Kissing Booth 3,2021,13+,1h 53m,Teen Movies,
The Perfect Date,2019,13+,1h 30m,Teen Movies,
How to Lose a Guy in 10 Days,2003,13+,1h 56m,Romantic Movies,
The Ugly Truth,2009,18+,1h 36m,Romantic Movies,
13 Going on 30,2004,13+,1h 37m,Teen Movies,
Holidate,2020,16+,1h 44m,Romantic Movies,
Set It Up,2018,18+,1h 45m,Romantic Movies,
The Last Letter From Your Lover,2021,16+,1h 50m,Romantic Movies,
Just Go With It,2011,13+,1h 56m,Romantic Movies,
He's Just Not That Into You,2009,13+,2h 9m,Romantic Movies,
Jerry Maguire,1996,16+,2h 18m,Romantic Movies,
To All the Boys: P.S. I Still Love You,2020,13+,1h 42m,Teen Movies,
The Kissing Booth 2,2020,13+,2h 12m,Teen Movies,
Sex and the City: The Movie,2008,18+,2h 25m,Romantic Movies,
To All The Boys: Always And Forever,2021,13+,1h 56m,Teen Movies,
Rebecca,2020,18+,2h 3m,Thriller Movies,
Made of Honor,2008,13+,1h 41m,Romantic Movies,
The Guernsey Literary and Potato Peel Pie Society,2018,13+,2h 3m,Romantic Movies,
Ante Sundaraniki (Tamil),2022,13+,2h 53m,Romantic Movies,
Words on Bathroom Walls,2020,16+,1h 50m,Teen Movies,
Fast & Feel Love,2022,13+,2h 11m,Romantic Movies,
The High Note,2020,13+,1h 53m,Romantic Movies,
Under the Amalfi Sun,2022,13+,1h 30m,Teen Movies,
Spontaneous,2020,16+,1h 42m,Romantic Movies,
Heart Parade,2022,13+,1h 48m,Romantic Movies,
Love Song,2020,All,1h 26m,Romantic Movies,
Alfie,2004,18+,1h 45m,Romantic Movies,
A Journal for Jordan,2021,16+,2h 11m,Romantic Movies,
Thieves in Thailand,2003,13+,1h 45m,Romantic Movies,
Italia's War,2005,13+,1h 55m,Romantic Movies,
Booty Call,1997,18+,1h 19m,Romantic Movies,
First Year of Deception,2004,7+,1h 30m,Romantic Movies,
Story of Dinda: Second Chance of Happiness,2021,7+,59m,Romantic Movies,
The Last Summer,2019,18+,1h 49m,Teen Movies,
Rajma Chawal,2018,16+,1h 58m,Romantic Movies,
Love Per Square Foot,2018,13+,2h 13m,Romantic Movies,
Tune in for Love,2019,16+,2h 2m,Romantic Movies,
Violet Evergarden the Movie,2020,13+,2h 20m,Drama Anime,
Life in a ... Metro,2007,16+,2h 5m,Romantic Movies,
Sillu Karuppatti,2019,13+,2h 13m,Romantic Movies,
The Half Of It,2020,13+,1h 45m,Teen Movies,
Bhangra Paa Le,2019,13+,2h 10m,Romantic Movies,
Something's Gotta Give,2003,16+,2h 8m,Romantic Movies,
Flavors of Youth: International Version,2018,13+,1h 14m,Adult Animation,
Layla Majnun,2020,13+,1h 59m,Romantic Movies,
Candy Jar,2018,13+,1h 32m,Teen Movies,
Love Is Colorblind,2021,13+,1h 55m,Romantic Movies,
Irreplaceable You,2018,13+,1h 36m,Romantic Movies,
Maska,2020,16+,1h 51m,Romantic Movies,
The Holiday Calendar,2018,7+,1h 35m,Romantic Movies,
Kilometers and Kilometers,2020,13+,2h 7m,Romantic Movies,
A California Christmas,2020,16+,1h 47m,Romantic Movies,
Our Souls at Night,2017,13+,1h 43m,Romantic Movies,
Dilan 1990,2018,13+,1h 49m,Romantic Movies,
Kapoor & Sons,2016,13+,2h 17m,Romantic Movies,
Jaane Tu... Ya Jaane Na,2008,13+,2h 26m,Romantic Movies,
Mubarakan,2017,13+,2h 33m,Romantic Movies,
Bodyguard,2011,13+,2h 10m,Romantic Movies,
Hasee Toh Phasee,2014,16+,2h 14m,Romantic Movies,
Dil Chahta Hai,2001,13+,3h 4m,Romantic Movies,
Toilet: Ek Prem Katha,2017,13+,2h 25m,Romantic Movies,
Barfi!,2012,13+,2h 23m,Romantic Movies,
Jab Harry Met Sejal,2017,13+,2h 22m,Bollywood Movies,
High End Yaariyan,2019,13+,1h 59m,Comedies,
Luka Chuppi,2019,13+,2h 5m,Bollywood Movies,
Phir Bhi Dil Hai Hindustani,2000,13+,2h 38m,Romantic Movies,
Pyaar Ka Punchnama,2011,13+,2h 29m,Romantic Movies,
Ginny Weds Sunny,2020,13+,2h 5m,Romantic Movies,
Zero,2018,13+,2h 39m,Romantic Movies,
Jagga Jasoos,2017,13+,2h 35m,Romantic Movies,
Ajab Prem Ki Ghazab Kahani,2009,13+,2h 29m,Romantic Movies,
Wake Up Sid,2009,13+,2h 12m,Romantic Movies,
Pride & Prejudice,2005,13+,2h 6m,Romantic Movies,
The Dirty Picture,2011,18+,2h 24m,Romantic Movies,
To All the Boys I’ve Loved Before,2018,13+,1h 40m,Teen Movies,
Elisa & Marcela,2019,18+,1h 58m,Period Pieces,
5 Centimeters Per Second,2007,7+,1h 2m,Drama Anime,
O Kadhal Kanmani,2015,13+,2h 13m,Romantic Movies,
Sense and Sensibility,1995,7+,2h 16m,Romantic Movies,
Emma.,2020,13+,2h 4m,Romantic Movies,
Saawariya,2007,13+,2h 17m,Romantic Movies,
Alex Strangelove,2018,18+,1h 39m,Teen Movies,
The Bridges of Madison County,1995,18+,2h 14m,Romantic Movies,
Shimla Mirchi,2020,13+,2h,Romantic Movies,
Let It Snow,2019,13+,1h 33m,Teen Movies,
Eternal Summer,2006,18+,1h 36m,Romantic Movies,
Shaandaar,2015,16+,2h 22m,Romantic Movies,
Qarib Qarib Singlle,2017,13+,1h 59m,Romantic Movies,
MILF,2018,18+,1h 41m,Romantic Movies,
A Cinderella Story: Christmas Wish,2019,13+,1h 26m,Teen Movies,
Hey Sinamika,2022,13+,2h 27m,Romantic Movies,
A Perfect Fit,2021,13+,1h 52m,Romantic Movies,
Ride or Die,2021,18+,2h 22m,Romantic Movies,
Leap Year,2010,7+,1h 40m,Romantic Movies,
The Knight Before Christmas,2019,13+,1h 32m,Romantic Movies,
Ek Ladki Ko Dekha Toh Aisa Laga,2019,13+,1h 59m,Romantic Movies,
Newness,2017,18+,1h 57m,Romantic Movies,
Dil Se,1998,16+,2h 45m,Romantic Movies,
Paheli,2005,13+,2h 13m,Romantic Movies,
Kabhi Alvida Naa Kehna,2006,18+,3h 11m,Romantic Movies,
Lakshya,2004,16+,3h 5m,Romantic Movies,
Ajeeb Daastaans,2021,18+,2h 22m,Romantic Movies,
Dostana,2008,13+,2h 21m,Romantic Movies,
Chalte Chalte,2003,13+,2h 45m,Romantic Movies,
Amar,2017,18+,1h 43m,Romantic Movies,
Love Aaj Kal,2020,13+,2h 19m,Romantic Movies,
The Lucky One,2012,18+,1h 40m,Romantic Movies,
Airplane Mode,2020,7+,1h 36m,Romantic Movies,
Ishq Vishk,2003,13+,2h 8m,Bollywood Movies,
6 Years,2015,18+,1h 19m,Romantic Movies,
Too Handsome to Handle,2019,16+,1h 46m,Teen Movies,
Into the Wind,2022,18+,1h 48m,Teen Movies,
Mariposa,2020,13+,1h 55m,Teen Movies,
JJ+E,2021,18+,1h 31m,Teen Movies,
Caught by a Wave,2021,16+,1h 39m,Teen Movies,
SPF-18,2017,13+,1h 15m,Teen Movies,
Your Name Engraved Herein,2020,18+,1h 54m,Romantic Movies,
Romance Doll,2020,18+,2h 3m,Romantic Movies,
Friendzone,2021,18+,1h 28m,Romantic Movies,
Silver Skates,2020,18+,2h 17m,Romantic Movies,
Rich in Love,2020,13+,1h 45m,Romantic Movies,
Toscana,2022,13+,1h 30m,Romantic Movies,
Isi & Ossi,2020,18+,1h 53m,Romantic Movies,
Sweet & Sour,2021,16+,1h 42m,Romantic Movies,
The Garden of Words,2013,13+,46m,Drama Anime,
Ali's Wedding,2018,16+,1h 49m,Romantic Movies,
A Girl and A Guy,2021,18+,2h 10m,Romantic Movies,
Turkish Dance School,2017,16+,1h 46m,Romantic Movies,
Cuddle Weather,2019,18+,1h 35m,Romantic Movies,
Humpty Sharma Ki Dulhania,2014,13+,2h 10m,Romantic Movies,
Ek Main Aur Ekk Tu,2012,13+,1h 45m,Romantic Movies,
Bheeshma,2020,16+,2h 18m,Telugu-Language Movies,
Indoo Ki Jawani,2020,13+,1h 54m,Romantic Movies,
Jindua,2017,13+,2h 15m,Punjabi-Language Movies,
Panipat - The Great Betrayal,2019,16+,2h 50m,Romantic Movies,
Pyaar Ka Punchnama 2,2015,16+,2h 15m,Romantic Movies,
Mann,1999,13+,2h 53m,Romantic Movies,
Ascharyachakit!,2018,18+,1h 30m,Romantic Movies,
Tuesdays & Fridays,2021,13+,1h 45m,Romantic Movies,
Falling Inn Love,2019,7+,1h 38m,Romantic Movies,
Break Ke Baad,2010,13+,1h 47m,Romantic Movies,
Varane Avashyamund,2020,13+,2h 24m,Romantic Movies,
Burlesque,2010,16+,1h 59m,Romantic Movies,
The Gray Man,2022,16+,2h 9m,Movies Based on Books,
Spider-Man: No Way Home,2021,13+,2h 28m,Action & Adventure,
RRR (Hindi),2022,18+,3h 5m,Action & Adventure,
Uncharted,2022,16+,1h 56m,Action & Adventure,
Godzilla vs. Kong,2021,13+,1h 53m,Action & Adventure,
